Location,Country Code,Indicator,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,A,B,C,R_squared
"Bahamas, The",BHS,Renewable vs Non-Renewable Energy Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.856634016028496e-05,7.060563588856964e-05,0.00014890772797265513,0.00023900573613766732,0.0007134158532817129,0.0009506775150811278,0.001125901756241166,0.0017648653782770564,0.0018770539989692776,0.002125583057408689,0.0022422578181257916,0.0021911677165785876,0.002601347279028519,0.003157205964175064,0.004831417291893225,0.12886226539994655,95.20259484482948,-249.2568754105898,0.30426294334321946
Bosnia and Herzegovina,BIH,CO2 Emissions Per Capita,11.403034255326784,10.538421920784417,11.027934567848307,11.31713117181519,12.072940628696118,12.752813048003114,14.316110057549299,15.28867459522201,17.06622622605108,17.375676142608473,18.01189346716738,19.66126196548247,18.43801956496535,18.535096503194556,16.824914721030233,17.139503112369916,20.378546671259237,21.032599808082896,21.295497051141297,20.309846506289887,20.342123819652016,19.882037871035966,0.4301679851128642,-3.916621997043604,-845.734667468871,0.8812974694261841
Bosnia and Herzegovina,BIH,Renewable vs Non-Renewable Energy Generation,0.9548266166822867,0.9494227597581089,0.9548667754214247,0.6653534368070954,0.8859433990220773,0.908290127195639,0.7807530104361787,0.5117829377806286,0.4965161685198409,0.6743782965845223,0.9015329664158149,0.41099072773250916,0.42675629820051414,0.7234012592444533,0.5360852272727273,0.5088778093752867,0.46263228514981886,0.30249584026622295,0.5194290245836638,0.575945945945946,0.40921997661600135,0.6331277533039648,0.4301679851128642,-3.916621997043604,-845.734667468871,0.8812974694261841
Belarus,BLR,CO2 Emissions Per Capita,13.180344471777964,13.023700910475439,13.244169504319473,13.912331624194929,14.71929319508669,14.943357482034974,15.640748997909826,14.98577182274612,15.948339449946658,14.9537126498869,15.217433058838221,15.066282963963026,15.632314863092786,16.05505992622636,15.791659441827631,14.371536416259634,14.634364197800089,15.382755708353189,16.078389824855638,16.511509537081523,15.297715298543107,15.43158307330704,0.17353010557596188,-48.5422269794667,-333.4304800810891,0.5562385963863239
Belarus,BLR,Renewable vs Non-Renewable Energy Generation,0.0010738666871212702,0.0012383653577277994,0.0011462519393044992,0.0011042896349486822,0.001101488324352066,0.0012029491656965464,0.0012144273439712962,0.0015811699550017306,0.0021078770550393136,0.003472766162211169,0.0037515027800442023,0.004331297453540818,0.005562837043627253,0.008522536856700605,0.007392293345465657,0.008316142028636673,0.011816613784110152,0.022333461686561418,0.020263555951010155,0.02567654364797729,0.03620870406709497,0.034880782774656595,0.17353010557596188,-48.5422269794667,-333.4304800810891,0.5562385963863239
Belize,BLZ,CO2 Emissions Per Capita,28.72806201592306,14.65946715235792,14.172306021008879,13.825428235819967,13.2942267414599,13.057428536781096,12.908936739988016,12.5217510540998,12.141648553510146,12.171474645973053,12.229506972859866,17.91907442237314,17.692665479930813,17.79405263310588,17.321373973633047,17.25302556193747,16.32024853735098,16.165922301724343,15.73522026299121,15.567894676107379,15.024008437130464,15.102994555421956,-0.06464735032645541,0.09983179275289988,144.9625913343553,0.008897329670815579
Belize,BLZ,Renewable vs Non-Renewable Energy Generation,0.8334960994952286,1.3070026439005658,1.238410129152332,0.518850987432675,0.6323064697946887,0.7599448708247757,3.4629256098612187,3.1330557764575633,5.9398767512904245,2.1610591609970284,8.734687604067936,10.00809764459024,6.845775653080183,9.417354562498252,9.084495467036495,6.745517280389162,6.382514404201438,6.513301098048094,3.9197778182480425,1.5110669018167173,16.50991241660606,13.00678026585779,-0.06464735032645541,0.09983179275289988,144.9625913343553,0.008897329670815579
Bolivia,BOL,CO2 Emissions Per Capita,11.880175846560133,9.381438964112396,9.403374922856177,9.438739397317855,9.475847429098012,9.497599916202677,9.654223041618467,9.915886319357375,10.045238495604465,10.15842395956669,10.366810706456937,10.901120673943268,11.0518242927872,11.24238868652596,11.474969771146561,11.464829564696753,12.379571872451558,12.342130595924127,12.24647786054939,12.07406256680746,10.900338538719565,11.78265324643329,0.1310930773526965,0.3003935205712491,-252.95824514647683,0.5598202392055036
Bolivia,BOL,Renewable vs Non-Renewable Energy Generation,1.034157000096398,0.9871030417794,0.9487799340615831,0.7308369520087389,0.7898023113219739,0.5847044991528028,0.5925971079423501,0.5975357851518139,0.5338803038544582,0.49940901301659685,0.42789568637009096,0.4702957356445084,0.42879276331783694,0.4483186465047806,0.35885231243928234,0.3911402798580271,0.2593649135494931,0.33304968828830067,0.4249644268661484,0.5726908192108844,0.5551737169424629,0.6195268096397014,0.1310930773526965,0.3003935205712491,-252.95824514647683,0.5598202392055036
Brazil,BRA,CO2 Emissions Per Capita,12.179726431902392,12.463533606724006,12.320168073161362,12.075842931268664,12.290435226671889,12.192860998840594,12.148660132754951,12.324931369344059,12.543662936663601,12.013539926595518,12.782102442466368,8.820815883036575,9.366001194813178,9.723796204938061,10.028646626473604,9.467101554424145,9.462188794255397,9.562046751727154,9.115174806931257,9.042170152570124,8.625915630164961,9.415494485278172,-0.19324171936498014,0.06434076213392673,398.9823276989243,0.7346726505332359
Brazil,BRA,Renewable vs Non-Renewable Energy Generation,8.517418613087917,5.364428891059232,6.01181511495923,6.790303554485269,6.1592080422396,6.768019530224996,6.549318591251906,7.493980145390424,5.375741161729953,8.130296610874929,5.579946224685019,6.809434993807694,4.734952120400786,3.3151064737062637,2.7424081722540907,2.8769530514322197,4.119544844478708,3.8186756485049425,4.668080565506005,4.3729543057769416,4.941200725616727,3.4179630105905248,-0.19324171936498014,0.06434076213392673,398.9823276989243,0.7346726505332359
Barbados,BRB,CO2 Emissions Per Capita,6.32474021469298,6.181527231071267,6.460521247490195,6.785586192845582,6.747184287071005,6.855197901861755,7.314334839604325,7.146708930755515,8.505484805692593,8.6353394706181,8.957521537179074,7.363570130605546,7.2438673555469455,8.617426460549366,7.582737856450433,7.853920552496918,8.350575178809185,6.863001178421632,8.065674676782702,8.877281615390105,7.589260013609174,7.384035440967282,0.14059165713557642,-27.344463744973396,-274.7897821520007,0.5002659957513742
Barbados,BRB,Renewable vs Non-Renewable Energy Generation,0.0,0.00018742442563482467,0.00018044237485448196,0.0001779768056033988,0.00017312826011683366,0.0003132585944661006,0.0003047943862950331,0.0008882704459460748,0.0008845358085150807,0.0011634872793305504,0.001512158572304339,0.0025185891325071497,0.0030296317300535216,0.0042831548275318945,0.009897313292441553,0.013588007267145315,0.013454621977349248,0.02365158901693207,0.023550395653119827,0.03529502723093161,0.05758411561953291,0.07903982422608956,0.14059165713557642,-27.344463744973396,-274.7897821520007,0.5002659957513742
Brunei Darussalam,BRN,CO2 Emissions Per Capita,48.56585813922847,47.33970486987452,46.06200325214483,53.277660362383294,48.82454071314233,47.17708243141169,66.50987374734449,62.6012391299756,66.5116363035926,65.86373161658268,60.23151350198079,58.66297085224131,57.78155530526223,56.270343274990175,54.64166693627355,48.95933436788893,51.979100003755946,53.79595652093073,55.66847459207781,52.63000389683323,67.7333662188013,68.47252275059331,0.8609968276279005,-20380.346260333878,-1671.0281782625812,0.2596772961917879
Brunei Darussalam,BRN,Renewable vs Non-Renewable Energy Generation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021359514648539737,0.000436209702979871,0.00042431695025310114,0.0004270780616410954,0.00039905273069958537,0.0003122331073791329,0.0002541073466532423,0.0003765816731054513,0.0003702232406532611,0.00024251779774959664,0.0002455483547262069,0.0002518849238671639,0.8609968276279005,-20380.346260333878,-1671.0281782625812,0.2596772961917879
Bhutan,BTN,CO2 Emissions Per Capita,-9.215319837808474,-8.824377130599402,-8.453545749279538,-8.165946407889988,-7.9473299568763265,-7.5617758769106445,-7.418327913436116,-7.27419165246019,-7.077272287843047,-6.308474575663845,-5.8067680066788,2.3575163030907107,2.2676517940220062,2.4442200444786524,2.451689463127261,3.06812361793901,3.443214089556538,4.011510530721934,4.891569186821607,5.373007291594731,3.7650922607720845,4.188486767607389,0.8162251545672419,3.1352178702600335e-06,-1643.286055376006,0.879421013339698
Bhutan,BTN,Renewable vs Non-Renewable Energy Generation,7568.75,5366.638888888889,4017.452830188679,1905.6975806451615,1426.8216374269005,1461.8029239766083,2018.3633802816903,3166.2057142857147,6795.793969849246,29699.021276595748,23325.590000000004,22014.339563862926,38552.412429378535,13981.268518518518,716453.5,387374.25,0,25742.05,0,0,0,0,0.8162251545672419,3.1352178702600335e-06,-1643.286055376006,0.879421013339698
